"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
1,01,01,토평공원,제주특별자치도 서귀포시 토평동 3273-1,제주특별자치도 서귀포시 토평동 3273-1,33.2925331,126.5798333,02,Y,N,N,없음,2017,2018-07-30,Y,공원녹지과,064-760-3192,2019-09-16
2,01,01,걸매공원,제주특별자치도 서귀포시 서홍로 40,제주특별자치도 서귀포시 서홍동 1199,33.2512325,126.5539200,02,Y,N,N,없음,2017,2018-07-30,Y,공원녹지과,064-760-3192,2019-09-16
3,01,01,칠십리공원,제주특별자치도 서귀포시 천지동 572-2,제주특별자치도 서귀포시 천지동 572-2,33.2470939,126.5510624,02,Y,N,N,없음,2017,2018-07-30,Y,공원녹지과,064-760-3192,2019-09-16
4,01,01,삼매봉공원,제주특별자치도 서귀포시 서홍동 821,제주특별자치도 서귀포시 서홍동 821,33.2438816,126.5454809,02,Y,N,N,없음,2017,2018-07-30,Y,공원녹지과,064-760-3192,2019-09-16
5,01,01,문화공원,제주특별자치도 서귀포시 김정문화로 32,제주특별자치도 서귀포시 강정동 176,33.2514173933,126.5076218419,02,Y,N,N,없음,2017,2018-07-30,Y,공원녹지과,064-760-3192,2019-09-16
6,01,01,강정1호공원,제주특별자치도 서귀포시 신서로 43,제주특별자치도 서귀포시 강정동 201,33.2538839,126.5048093,02,Y,N,N,없음,2017,2018-07-30,Y,공원녹지과,064-760-3192,2019-09-16
7,01,01,대청공원,제주특별자치도 서귀포시 신서로 38,제주특별자치도 서귀포시 강정동 169-8,33.2534601,126.5051639856,02,Y,N,N,없음,2017,2018-07-30,Y,공원녹지과,064-760-3192,2019-09-16
8,01,01,동광공원,제주특별자치도 서귀포시 동홍동로 32번길 14,제주특별자치도 서귀포시 동홍동 100-3,33.25757451,126.5763861,02,Y,N,N,없음,2017,2018-07-30,Y,공원녹지과,064-760-3192,2019-09-16
